Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
CNI,Canadian National Railway Company Common Stock,82919283624,Canada,,724718,Industrials,Railroads
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,2149704711,United States,2007,2908696,Consumer Discretionary,Movies/Entertainment
CNM,Core & Main Inc. Class A Common Stock,11107626180,United States,2021,1620401,Consumer Discretionary,Durable Goods
CNMD,CONMED Corporation Common Stock,2315622055,United States,1987,611446,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNNE,Cannae Holdings Inc. Common Stock,1448914081,United States,2017,712150,Consumer Discretionary,Restaurants
CNO,CNO Financial Group Inc. Common Stock,2747684564,United States,,587781,Finance,Accident &Health Insurance
CNO^A,CNO Financial Group Inc. 5.125% Subordinated Debentures due 2060,,United States,,17905,,
CNOB,ConnectOne Bancorp Inc. Common Stock,686280248,United States,,129299,Finance,Major Banks
CNOBP,ConnectOne Bancorp Inc. Depositary Shares each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A,753103283,United States,,13313,Finance,Major Banks
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,17305694944,United States,,3613197,Utilities,Electric Utilities: Central
CNQ,Canadian Natural Resources Limited Common Stock,83154516320,Canada,,5992187,Energy,Oil & Gas Production
CNS,Cohen & Steers Inc Common Stock,3391808353,United States,2004,138277,Finance,Investment Managers
CNSL,Consolidated Communications Holdings Inc. Common Stock,496494171,United States,2005,926008,Telecommunications,Telecommunications Equipment
CNSP,CNS Pharmaceuticals Inc. Common Stock,2595987,United States,2019,117498,Health Care,Biotechnology: Pharmaceutical Preparations
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,1081297063,United Kingdom,2021,72558,Health Care,Biotechnology: Pharmaceutical Preparations
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,91918882,China,2021,78469,Health Care,Biotechnology: Pharmaceutical Preparations
CNTG,Centogene N.V. Common Shares,13524000,Germany,2019,86629,Health Care,Medical Specialities
CNTX,Context Therapeutics Inc. Common Stock,23949080,United States,2021,34979,Health Care,Biotechnology: Pharmaceutical Preparations
CNTY,Century Casinos Inc. Common Stock,97455379,United States,,114890,Consumer Discretionary,Hotels/Resorts
CNVS,Cineverse Corp. Class A Common Stock,16393391,United States,,58027,Consumer Discretionary,Consumer Electronics/Video Chains
CNX,CNX Resources Corporation Common Stock,3609600847,United States,1999,2850797,Energy,Oil & Gas Production
CNXC,Concentrix Corporation Common Stock,3791235517,United States,,610332,Technology,Computer Software: Prepackaged Software
CNXN,PC Connection Inc. Common Stock,1651261371,United States,,34458,Technology,Retail: Computer Software & Peripheral Equipment
COCH,Envoy Medical Inc. Class A Common Stock,118971891,United States,2021,125694,Finance,Blank Checks
COCHW,Envoy Medical Inc Warrant,3527997,United States,2021,4900,Finance,Blank Checks
COCO,The Vita Coco Company Inc. Common Stock,1367441834,United States,2021,511384,Consumer Staples,Beverages (Production/Distribution)
COCP,Cocrystal Pharma Inc. Common Stock,14323679,United States,,22342,Health Care,Biotechnology: Pharmaceutical Preparations
CODA,Coda Octopus Group Inc. Common stock,68376820,United States,,19391,Industrials,Industrial Machinery/Components
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,1722937831,United States,2006,128541,Consumer Discretionary,Home Furnishings
CODI^A,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings,,United States,,7579,,
CODI^B,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings,,United States,,7365,,
CODI^C,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares,,United States,,14521,,
CODX,Co-Diagnostics Inc. Common Stock,36983313,United States,2017,39417,Health Care,Medical/Dental Instruments
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,38004323,China,2016,1329,Real Estate,Other Consumer Services
COEP,Coeptis Therapeutics Holdings Inc. Common Stock,13530110,United States,2020,415911,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COEPW,Coeptis Therapeutics Holdings Inc. Warrants,772324,United States,2020,5100,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COF,Capital One Financial Corporation Common Stock,52917936780,United States,1994,2862683,Finance,Major Banks
COF^I,Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series I of the Issuer,,United States,,237172,,
COF^J,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock Series J,,United States,,192798,,
COF^K,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series K,,United States,,8331,,
COF^L,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series L,,United States,,72903,,
COF^N,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series N,,United States,,53705,,
COFS,ChoiceOne Financial Services Inc. Common Stock,171526790,United States,,8925,Finance,Major Banks
COGT,Cogent Biosciences Inc. Common Stock,675437074,United States,2018,1671158,Health Care,Biotechnology: Pharmaceutical Preparations
COHN,Cohen & Company Inc.,11993230,United States,,22836,Finance,Investment Bankers/Brokers/Service
COHR,Coherent Corp. Common Stock,7912512115,United States,,1300028,Technology,Electronic Components
COHU,Cohu Inc. Common Stock,1450426934,United States,,155886,Industrials,Electrical Products
COIN,Coinbase Global Inc. Class A Common Stock,54126696847,United States,,11197106,Finance,Finance: Consumer Services
COKE,Coca-Cola Consolidated Inc. Common Stock,7617340892,United States,1972,27959,Consumer Staples,Beverages (Production/Distribution)
COLB,Columbia Banking System Inc. Common Stock,3667638909,United States,1992,2361663,Finance,Major Banks
COLD,Americold Realty Trust Inc. Common Stock,6651902140,United States,2018,2343791,Finance,Real Estate
COLL,Collegium Pharmaceutical Inc. Common Stock,1123068356,United States,2015,366302,Health Care,Biotechnology: Pharmaceutical Preparations
COLM,Columbia Sportswear Company Common Stock,4437437561,United States,1998,689481,Consumer Discretionary,Apparel
COMM,CommScope Holding Company Inc. Common Stock,212270576,United States,2013,2518425,Technology,Radio And Television Broadcasting And Communications Equipment
COMP,Compass Inc. Class A Common Stock,1611412911,United States,2021,4015775,Technology,EDP Services
CONN,Conn's Inc. Common Stock,97463949,United States,2003,143079,Consumer Discretionary,Consumer Electronics/Video Chains
CONX,CONX Corp. Class A Common Stock,0,United States,2020,163,Finance,Blank Checks
CONXW,CONX Corp. Warrant,0,United States,2020,144363,Finance,Blank Checks
COO,The Cooper Companies Inc. Common Stock,18293528379,United States,,965674,Health Care,Ophthalmic Goods
COOK,Traeger Inc. Common Stock,269955001,United States,2021,213645,Consumer Discretionary,Wholesale Distributors
COOL,Corner Growth Acquisition Corp. Class A Ordinary Shares,0,United States,2021,29,Finance,Blank Checks
COOLW,Corner Growth Acquisition Corp. Warrant,0,United States,2021,4173,Finance,Blank Checks
COOP,Mr. Cooper Group Inc. Common Stock,4876822645,United States,,271892,Finance,Finance: Consumer Services
COOT,Australian Oilseeds Holdings Limited Ordinary Shares,28797886,Australia,,18338,,
COOTW,Australian Oilseeds Holdings Limited Warrant,1026505,Australia,,6117,,
COP,ConocoPhillips Common Stock,1.53227E+11,United States,,4216892,Energy,Integrated oil Companies
COR,Cencora Inc. Common Stock,46720677581,United States,,986030,Health Care,Other Pharmaceuticals
CORT,Corcept Therapeutics Incorporated Common Stock,2396427532,United States,2004,724423,Health Care,Biotechnology: Pharmaceutical Preparations
CORZ,Core Scientific Inc. Common Stock,502596889,United States,,2389025,,
CORZW,Core Scientific Inc. Tranche 1 Warrants,0,United States,,162056,,
CORZZ,Core Scientific Inc. Tranche 2 Warrants,239754700,United States,,134828,,
COSM,Cosmos Health Inc. Common Stock,8712733,United States,,153180,Health Care,Other Pharmaceuticals
COST,Costco Wholesale Corporation Common Stock,3.1856E+11,United States,,1806984,Consumer Discretionary,Department/Specialty Retail Stores
COTY,Coty Inc. Class A Common Stock,9399273261,United States,2013,4332014,Consumer Discretionary,Package Goods/Cosmetics
COUR,Coursera Inc. Common Stock,1946130970,United States,2021,2241793,Technology,Computer Software: Prepackaged Software
COYA,Coya Therapeutics Inc. Common Stock,121721386,United States,2022,75035,Health Care,Biotechnology: Pharmaceutical Preparations
CP,Canadian Pacific Kansas City Limited Common Shares,79678984000,Canada,,1400022,,
CPA,Copa Holdings S.A. Class A Common Stock,2741200000,Panama,2005,148378,Consumer Discretionary,Air Freight/Delivery Services
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),435736767,Peru,,3412,Industrials,Building Materials
CPAY,Corpay Inc. Common Stock,21289502848,United States,,481879,Consumer Discretionary,Business Services
CPB,Campbell Soup Company Common Stock,12726000037,United States,,2061693,Consumer Staples,Packaged Foods
CPBI,Central Plains Bancshares Inc. Common Stock,41514691,United States,2023,10542,,
CPF,Central Pacific Financial Corp New,512773826,United States,,194253,Finance,Major Banks
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),5275770160,Canada,,6931346,,
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,109335996,United States,,990,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPHI,China Pharma Holdings Inc. Common Stock,5259987,China,,93750,Health Care,Biotechnology: Pharmaceutical Preparations
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,22096335,United States,2009,2876,Health Care,Biotechnology: Pharmaceutical Preparations
CPK,Chesapeake Utilities Corporation Common Stock,2234957592,United States,,78668,Utilities,Oil & Gas Production
CPLP,Capital Product Partners L.P. Common Units,888882159,Greece,2007,10800,Consumer Discretionary,Marine Transportation
CPNG,Coupang Inc. Class A Common Stock,38825328573,United States,2021,28990435,Consumer Discretionary,Durable Goods
CPOP,Pop Culture Group Co. Ltd Class A Ordinary Shares,4617602,China,2021,13011,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPRI,Capri Holdings Limited Ordinary Shares,4584566856,Hong Kong,2011,5232844,Consumer Discretionary,Apparel
CPRT,Copart Inc. (DE) Common Stock,52640035193,United States,1994,4879995,Consumer Discretionary,Other Specialty Stores
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,1813915541,United States,2006,1296690,Health Care,Biotechnology: Pharmaceutical Preparations
CPS,Cooper-Standard Holdings Inc. Common Stock,276879412,United States,,119957,Consumer Discretionary,Auto Parts:O.E.M.
CPSH,CPS Technologies Corp. Common Stock,25408626,United States,,40780,Consumer Discretionary,Building Materials
CPSS,Consumer Portfolio Services Inc. Common Stock,186577176,United States,1992,27941,Finance,Finance: Consumer Services
CPT,Camden Property Trust Common Stock,10335338693,United States,1993,540769,Real Estate,Real Estate Investment Trusts
CPTN,Cepton Inc. Common Stock,46966705,United States,2021,4485,Industrials,Industrial Machinery/Components
CPTNW,Cepton Inc. Warrant,149657,United States,2021,2169,Industrials,Industrial Machinery/Components
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,293108656,United States,2019,72604,Finance,Trusts Except Educational Religious and Charitable
CQP,Cheniere Energy Partners LP Common Units,22338405526,United States,2007,293029,Utilities,Oil/Gas Transmission
CR,Crane Company Common Stock,7482080687,United States,2023,232212,Industrials,Office Equipment/Supplies/Services
CRAI,CRA International Inc. Common Stock,998998208,United States,1998,24086,Consumer Discretionary,Other Consumer Services
CRBG,Corebridge Financial Inc. Common Stock,16597178681,United States,2022,2205796,Finance,Life Insurance
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,448265574,United States,,347484,Health Care,Biotechnology: Pharmaceutical Preparations
CRBU,Caribou Biosciences Inc. Common Stock,367580019,United States,2021,1609048,Health Care, Medicinal Chemicals and Botanical Products 
CRC,California Resources Corporation Common Stock,3810092990,United States,2020,522407,Energy,Oil & Gas Production
CRCT,Cricut Inc. Class A Common Stock,1083984370,United States,2021,1028729,Industrials,Wholesale Distributors
CRD/A,Crawford & Company,,United States,,107709,,
CRD/B,Crawford & Company,,United States,,13774,,
CRDF,Cardiff Oncology Inc. Common Stock,235895452,United States,,654109,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRDL,Cardiol Therapeutics Inc. Class A Common Shares,116553963,Canada,,205608,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,3174369536,United States,2022,2749047,Technology,Semiconductors
CREG,Smart Powerr Corp. Common Stock,9795036,China,,9602,Consumer Discretionary,Business Services
CRESW,Cresud S.A.C.I.F. y A. Warrant,319248516,Argentina,,5709,Finance,Real Estate
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,536975165,Argentina,1997,212946,Finance,Real Estate
CREV,Carbon Revolution Public Limited Ordinary Shares,29065352,Ireland,,3467,,
CREVW,Carbon Revolution Public Limited Company Warrant,142514,Ireland,,30400,,
CREX,Creative Realities Inc. Common Stock,33533775,United States,,57543,Technology,EDP Services
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,0,United States,2003,2562148,Finance,Finance/Investors Services
CRGO,Freightos Limited Ordinary shares,112552517,Israel,,21353,Finance,Blank Checks
CRGOW,Freightos Limited Warrants,7064466,Israel,,1414,Finance,Blank Checks
CRGX,CARGO Therapeutics Inc. Common Stock,782931104,United States,2023,140351,,
CRGY,Crescent Energy Company Class A Common Stock,2040902657,United States,2021,1314577,Energy,Oil & Gas Production
CRH,CRH PLC Ordinary Shares,55325720905,Ireland,,3183415,Industrials,Building Materials
CRI,Carter's Inc. Common Stock,2618942489,United States,2003,886341,Consumer Discretionary,Apparel
CRIS,Curis Inc. Common Stock,85817878,United States,,20190,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRK,Comstock Resources Inc. Common Stock,2583825417,United States,,3312654,Energy,Oil & Gas Production
CRKN,Crown Electrokinetics Corp. Common Stock,2554081,United States,,3377232,Technology,Industrial Machinery/Components
CRL,Charles River Laboratories International Inc. Common Stock,12114951236,United States,2000,462301,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Salesforce Inc. Common Stock,2.64713E+11,United States,2004,18359865,Technology,Computer Software: Prepackaged Software
CRMD,CorMedix Inc. Common Stock,295798329,United States,,1499310,Health Care,Biotechnology: Pharmaceutical Preparations
CRML,Critical Metals Corp. Ordinary Shares,816398810,British Virgin Islands,,49637,,
CRMLW,Critical Metals Corp. Warrants,16327976,British Virgin Islands,,130,,
CRMT,America's Car-Mart Inc Common Stock,355017123,United States,,114242,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRNC,Cerence Inc. Common Stock,504679854,United States,,560062,Technology,Computer Software: Prepackaged Software
CRNT,Ceragon Networks Ltd. Ordinary Shares,236608749,Israel,,832202,Technology,Radio And Television Broadcasting And Communications Equipment
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,3039962103,United States,2018,540691,Health Care,Biotechnology: Pharmaceutical Preparations
CRON,Cronos Group Inc. Common Share,930369201,Canada,,3863528,Health Care, Medicinal Chemicals and Botanical Products 
CROX,Crocs Inc. Common Stock,7463098661,United States,2006,1090254,Consumer Discretionary,Shoe Manufacturing
CRS,Carpenter Technology Corporation Common Stock,3748917802,United States,,402051,Industrials,Steel/Iron Ore
CRSP,CRISPR Therapeutics AG Common Shares,4713803784,Switzerland,2016,1467273,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRSR,Corsair Gaming Inc. Common Stock,1155995964,United States,2020,403759,Technology,Computer Manufacturing
CRT,Cross Timbers Royalty Trust Common Stock,76380000,United States,1992,40127,Energy,Oil & Gas Production
CRTO,Criteo S.A. American Depositary Shares,1886002596,France,2013,206839,Consumer Discretionary,Advertising
CRUS,Cirrus Logic Inc. Common Stock,4690725558,United States,1989,274493,Technology,Semiconductors
CRVL,CorVel Corp. Common Stock,4076814122,United States,,34003,Finance,Specialty Insurers
CRVO,CervoMed Inc. Common Stock,144080685,United States,,34718,Health Care,Biotechnology: Pharmaceutical Preparations
CRVS,Corvus Pharmaceuticals Inc. Common Stock,72086716,United States,2016,69357,Health Care,Biotechnology: Pharmaceutical Preparations
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,72439663071,United States,2019,2569822,Technology,Computer Software: Prepackaged Software
CRWS,Crown Crafts Inc Common Stock,54184668,United States,,8117,Consumer Discretionary,Textiles
CSAN,Cosan S.A. ADS,5223998000,Brazil,2021,715972,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CSBR,Champions Oncology Inc. Common Stock,67968835,United States,,193,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CSCO,Cisco Systems Inc. Common Stock (DE),1.95333E+11,United States,1990,20300607,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,35748067867,United States,1998,2585037,Consumer Discretionary,Business Services
CSGS,CSG Systems International Inc. Common Stock,1410564332,United States,1996,191661,Technology,EDP Services
CSIQ,Canadian Solar Inc. Common Shares (ON),1014201600,Canada,2006,2637256,Technology,Semiconductors
CSL,Carlisle Companies Incorporated Common Stock,17816207622,United States,,211897,Industrials,Specialty Chemicals
CSLM,CSLM Acquisition Corp. Class A Ordinary Share,0,United States,2022,58688,Finance,Blank Checks
CSLMR,CSLM Acquisition Corp. Right,0,United States,2022,4498,Finance,Blank Checks
CSLMW,CSLM Acquisition Corp. Warrant,0,United States,2022,4000,Finance,Blank Checks
CSLR,Complete Solaria Inc. Common Stock,12765099,United States,,808123,Technology,Semiconductors
CSLRW,Complete Solaria Inc. Warrants,3191275,United States,,84,Health Care,Biotechnology: Pharmaceutical Preparations
CSPI,CSP Inc. Common Stock,158110719,United States,1982,101068,Technology,EDP Services
CSQ,Calamos Strategic Total Return Common Stock,2472291398,United States,2004,241044,Finance,Finance Companies
CSR,D/B/A Centerspace Common Stock,918076145,United States,,130994,Real Estate,Real Estate Investment Trusts
CSR^C,D/B/A Centerspace 6.625% Series C ,,United States,,3809,,
CSSE,Chicken Soup for the Soul Entertainment Inc. Class A Common Stock,4635855,United States,2017,335236,Consumer Discretionary,Movies/Entertainment
CSSEL,Chicken Soup for the Soul Entertainment Inc. Warrant,219068,United States,,10,Consumer Discretionary,Movies/Entertainment
CSSEN,Chicken Soup for the Soul Entertainment Inc. 9.50% Notes due 2025,118715271,United States,,2883,Consumer Discretionary,Movies/Entertainment
CSSEP,Chicken Soup for the Soul Entertainment Inc. 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock,13530641,United States,,8129,Consumer Discretionary,Movies/Entertainment
CSTE,Caesarstone Ltd. Ordinary Shares,195799003,Israel,2012,146030,Consumer Discretionary,Multi-Sector Companies
CSTL,Castle Biosciences Inc. Common Stock,527863173,United States,2019,102667,Health Care,Medical Specialities
CSTM,Constellium SE Ordinary Shares (France),3084685763,Netherlands,2013,740599,Industrials,Metal Fabrications
CSV,Carriage Services Inc. Common Stock,364454340,United States,,73650,Consumer Discretionary,Other Consumer Services
CSWC,Capital Southwest Corporation Common Stock,1048309980,United States,,202493,Finance,Finance/Investors Services
CSWCZ,Capital Southwest Corporation 7.75% Notes due 2028,1103325838,United States,,1210,Finance,Finance Companies
CSWI,CSW Industrials Inc. Common Stock,3654635337,United States,,45494,Industrials,Home Furnishings
CSX,CSX Corporation Common Stock,68843980778,United States,,15632499,Industrials,Railroads
CTA^A,EIDP Inc. Preferred Stock $3.50 Series,,United States,,449,,
CTA^B,EIDP Inc. Preferred Stock $4.50 Series,,United States,,4027,,
CTAS,Cintas Corporation Common Stock,67444650875,United States,1983,462024,Consumer Discretionary,Business Services
CTBB,Qwest Corporation 6.5% Notes due 2056,10,United States,2016,96491,Telecommunications,Telecommunications Equipment
CTBI,Community Trust Bancorp Inc. Common Stock,719212084,United States,,44536,Finance,Major Banks
CTCX,Carmell Corporation Common Stock,46381048,United States,2021,12796,Health Care,Medical/Dental Instruments
CTCXW,Carmell Corporation Warrant,2116977,United States,2021,525,Health Care,Medical/Dental Instruments
CTDD,Qwest Corporation 6.75% Notes due 2057,10,United States,2017,31198,Telecommunications,Telecommunications Equipment
CTGO,Contango ORE Inc. Common Stock,201820748,United States,2021,22412,Basic Materials,Precious Metals
CTHR,Charles & Colvard Ltd Common Stock,9164176,United States,1997,116964,Consumer Discretionary,Consumer Specialties
CTKB,Cytek Biosciences Inc. Common Stock,787560895,United States,2021,1394395,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CTLP,Cantaloupe Inc. Common Stock,455709364,United States,,252288,Technology,EDP Services
CTLT,Catalent Inc. Common Stock,10135768814,United States,2014,1578702,Health Care,Biotechnology: Pharmaceutical Preparations
CTM,Castellum Inc. Common Stock,11878701,,2022,189763,Technology,EDP Services
CTMX,CytomX Therapeutics Inc. Common Stock,133411666,United States,2015,382935,Health Care,Biotechnology: Pharmaceutical Preparations
CTNM,Contineum Therapeutics Inc. Class A Common Stock,294811684,United States,2024,47144,,
CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,16735643,United States,2023,152451,,
CTO,CTO Realty Growth Inc. Common Stock,381359658,United States,1992,240690,Real Estate,Real Estate Investment Trusts
CTO^A,CTO Realty Growth Inc. 6.375% Series A Cumulative Redeemable Preferred Stock,,United States,,13219,,
CTOS,Custom Truck One Source Inc. Common Stock,1326264059,Cayman Islands,2017,537514,Consumer Discretionary,Diversified Commercial Services
CTR,ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock,0,United States,2012,17899,Finance,Investment Managers
CTRA,Coterra Energy Inc. Common Stock,20442731676,United States,,4999484,Energy,Oil & Gas Production
CTRE,CareTrust REIT Inc. Common Stock,3074659916,United States,2022,734209,Real Estate,Real Estate Investment Trusts
CTRM,Castor Maritime Inc. Common Shares,34204850,Cyprus,,91980,Consumer Discretionary,Marine Transportation
CTRN,Citi Trends Inc. Common Stock,192418649,United States,2005,127372,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CTS,CTS Corporation Common Stock,1399980332,United States,,129342,Technology,Industrial Machinery/Components
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,34062351829,United States,1998,2953751,Technology,EDP Services
CTSO,Cytosorbents Corporation Common Stock,47061653,United States,,71736,Health Care,Medical/Dental Instruments
CTV,Innovid Corp. Common Stock,316266075,,2021,375107,Consumer Discretionary,Advertising
CTVA,Corteva Inc. Common Stock ,37664693610,United States,2019,2709498,Consumer Staples,Farming/Seeds/Milling
CTXR,Citius Pharmaceuticals Inc. Common Stock,121739326,United States,,724918,Health Care,Biotechnology: Pharmaceutical Preparations
CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock,0,United States,,70300,Finance,Investment Managers
CUBB,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034,604509811,United States,2019,2603,Finance,Major Banks
CUBE,CubeSmart Common Shares,9592064101,United States,,1762080,Real Estate,Real Estate Investment Trusts
CUBI,Customers Bancorp Inc Common Stock,1467825385,United States,,557920,Finance,Major Banks
CUBI^E,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series E,,United States,,1694,,
CUBI^F,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,,United States,,5145,,
CUE,Cue Biopharma Inc. Common Stock,77586089,United States,2018,238986,Health Care,Biotechnology: Pharmaceutical Preparations
CUK,Carnival Plc ADS ADS,16715546191,United States,,1852840,Consumer Discretionary,Marine Transportation
CULL,Cullman Bancorp Inc. Common Stock,75563166,United States,2021,41,Finance,Savings Institutions
CULP,Culp Inc. Common Stock,56363962,United States,,13276,Consumer Discretionary,Textiles
CURI,CuriosityStream Inc. Class A Common Stock,63967549,United States,2020,268627,Consumer Discretionary,Movies/Entertainment
CURIW,CuriosityStream Inc. Warrant,927529,United States,2020,52655,Consumer Discretionary,Movies/Entertainment
CURV,Torrid Holdings Inc. Common Stock,448604040,,2021,25462,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CUTR,Cutera Inc. Common Stock,44112975,United States,2004,2355627,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CUZ,Cousins Properties Incorporated Common Stock,3349635936,United States,,1202364,Real Estate,Real Estate Investment Trusts
CVAC,CureVac N.V. Ordinary Shares,593180240,Germany,2020,944048,Health Care,Biotechnology: Pharmaceutical Preparations
CVBF,CVB Financial Corporation Common Stock,2242528818,United States,,740678,Finance,Major Banks
CVCO,Cavco Industries Inc. Common Stock When Issued,3091837706,United States,,65261,Consumer Discretionary,Homebuilding
CVE,Cenovus Energy Inc Common Stock,38356363828,Canada,,13204704,Energy,Oil & Gas Production
CVEO,Civeo Corporation (Canada) Common Shares,375399338,,2014,39950,,
CVGI,Commercial Vehicle Group Inc. Common Stock,214915678,United States,2004,73590,Consumer Discretionary,Auto Parts:O.E.M.
CVGW,Calavo Growers Inc. Common Stock,438598530,United States,,123155,Consumer Discretionary,Specialty Foods
CVI,CVR Energy Inc. Common Stock,3469310971,United States,2007,589337,Energy,Integrated oil Companies
CVII,Churchill Capital Corp VII Class A Common Stock,0,United States,,2072,Finance,Blank Checks
CVIIU,Churchill Capital Corp VII Units,,United States,,3,Finance,Blank Checks
CVIIW,Churchill Capital Corp VII Warrants,,United States,,61398,Finance,Blank Checks
CVKD,Cadrenal Therapeutics Inc. Common Stock,6483430,United States,2023,144580,Health Care, Medicinal Chemicals and Botanical Products 
CVLG,Covenant Logistics Group Inc. Class A Common Stock,588741126,United States,,47604,Industrials,Trucking Freight/Courier Services
CVLT,Commvault Systems Inc. Common Stock,4115107779,United States,2006,454358,Technology,Computer Software: Prepackaged Software
CVLY,Codorus Valley Bancorp Inc Common Stock,206353117,United States,,12114,Finance,Savings Institutions
CVM,Cel-Sci Corporation Common Stock,79665727,United States,1997,175064,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVNA,Carvana Co. Class A Common Stock,14098621206,United States,2017,5889992,Consumer Discretionary,Other Specialty Stores
CVR,Chicago Rivet & Machine Co. Common Stock,14975046,United States,1930,2853,Industrials,Industrial Machinery/Components
CVRX,CVRx Inc. Common Stock,348028133,United States,2021,101376,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVS,CVS Health Corporation Common Stock,86782681175,United States,,7233874,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CVU,CPI Aerostructures Inc. Common Stock,34835500,United States,2022,113121,Industrials,Military/Government/Technical
CVV,CVD Equipment Corporation Common Stock,32757653,United States,,16017,Technology,Industrial Machinery/Components
CVX,Chevron Corporation Common Stock,2.92687E+11,United States,,7229743,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation Common Stock,9441764648,United States,,126074,Industrials,Industrial Machinery/Components
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,3949434436,United States,2021,1106485,Technology,Computer Software: Prepackaged Software
CWBC,Community West Bancshares Common Stock,160099744,United States,,45069,Finance,Major Banks
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,385257319,Cayman Islands,,156379,Utilities,Water Supply
CWD,CaliberCos Inc. Class A Common Stock,19151589,United States,2023,25356,Finance,Real Estate
CWEN,Clearway Energy Inc. Class C Common Stock,2631449062,United States,2015,1036389,Utilities,Electric Utilities: Central
CWH,Camping World Holdings Inc. Class A Common Stock,1939302592,United States,2016,1049409,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CWK,Cushman & Wakefield plc Ordinary Shares,2177821687,,2018,1293947,Finance,Real Estate
CWST,Casella Waste Systems Inc. Class A Common Stock,5546687038,United States,1997,279294,Utilities,Environmental Services
CWT,California Water Service Group Common Stock,2560201196,United States,,381357,Utilities,Water Supply
